Model,Attribute,Metric,Mean,Std,Threshold,Margin,Margin_sigma,VFR,Pct_Fair,Verdict
HistGradientBoosting,SEX,TI,0.009399,0.006741,0.1,0.0906,13.4,0.0,100.0,FAIR
HistGradientBoosting,SEX,PP,0.039653,0.029895,0.1,0.0603,2.0,0.0,100.0,FAIR
HistGradientBoosting,SEX,CAL,0.261858,0.069904,0.05,0.2119,3.0,0.0,0.0,UNFAIR
HistGradientBoosting,ETHNICITY,DI,0.819632,0.107171,0.8,0.0196,0.2,0.4667,53.3,FAIR
HistGradientBoosting,ETHNICITY,SPD,0.084871,0.050551,0.1,0.0151,0.3,0.4,60.0,FAIR
HistGradientBoosting,ETHNICITY,EOPP,0.065911,0.053501,0.1,0.0341,0.6,0.1333,86.7,FAIR
HistGradientBoosting,ETHNICITY,EOD,0.075066,0.049951,0.1,0.0249,0.5,0.1333,86.7,FAIR
HistGradientBoosting,ETHNICITY,TI,0.010192,0.008301,0.1,0.0898,10.8,0.0,100.0,FAIR
HistGradientBoosting,ETHNICITY,PP,0.043337,0.033302,0.1,0.0567,1.7,0.0333,96.7,FAIR
HistGradientBoosting,ETHNICITY,CAL,0.367298,0.140647,0.05,0.3173,2.3,0.0,0.0,UNFAIR
HistGradientBoosting,AGE_GROUP,DI,0.477847,0.044686,0.8,0.3222,7.2,0.0,0.0,UNFAIR
HistGradientBoosting,AGE_GROUP,SPD,0.32914,0.036805,0.1,0.2291,6.2,0.0,0.0,UNFAIR
HistGradientBoosting,AGE_GROUP,EOPP,0.13372,0.049002,0.1,0.0337,0.7,0.3,30.0,UNFAIR
HistGradientBoosting,AGE_GROUP,EOD,0.170507,0.038936,0.1,0.0705,1.8,0.0,0.0,UNFAIR
HistGradientBoosting,AGE_GROUP,TI,0.008772,0.005783,0.1,0.0912,15.8,0.0,100.0,FAIR
HistGradientBoosting,AGE_GROUP,PP,0.038895,0.03244,0.1,0.0611,1.9,0.0333,96.7,FAIR
HistGradientBoosting,AGE_GROUP,CAL,0.284889,0.075879,0.05,0.2349,3.1,0.0,0.0,UNFAIR
XGBoost,RACE,DI,0.245916,0.278072,0.8,0.5541,2.0,0.0,0.0,UNFAIR
XGBoost,RACE,SPD,0.460193,0.190308,0.1,0.3602,1.9,0.0,0.0,UNFAIR
XGBoost,RACE,EOPP,0.274109,0.168382,0.1,0.1741,1.0,0.0333,3.3,UNFAIR
XGBoost,RACE,EOD,0.390898,0.256817,0.1,0.2909,1.1,0.0,0.0,UNFAIR
XGBoost,RACE,TI,0.028505,0.020086,0.1,0.0715,3.6,0.0,100.0,FAIR
XGBoost,RACE,PP,0.383151,0.286771,0.1,0.2832,1.0,0.0,0.0,UNFAIR
